SUBCAT,DESCRICAO
A420,Pulmonary actinomycosis
A421,Abdominal actinomycosis
A422,Cervicofacial actinomycosis
A427,Actinomycotic septicemia
A428,Other forms of actinomycosis
A429,Actinomycosis unspecified
A430,Pulmonary nocardiosis
A431,Cutaneous nocardiosis
A438,Other forms of nocardiosis
A439,Nocardiosis unspecified
A440,Systemic bartonellosis
A441,Cutaneous and cutaneous-mucosal bartonellosis
A448,Other forms of bartonellosis
A449,Bartonelosis not specified
A46,Erysipelas
A480,Gas gangrene
A481,Legionnaires' disease
A482,Non-pneumonic Legionnaires' disease [Pontiac fever]
A483,Toxic shock syndrome
A484,Purple fever of Brazil
A488,Other specified bacterial diseases
A490,Staphylococcal infection of unspecified location
A491,Streptococcal infection of unspecified location
A492,Haemophilus influenzae infection of unspecified location
A493,Mycoplasma infection of unspecified location
A498,Other bacterial infections of unspecified location
A499,Unspecified bacterial infection
A500,Symptomatic early congenital syphilis
A501,"Early congenital syphilis, latent form"
A502,Early congenital syphilis unspecified
A503,Late Congenital Syphilitic Oculopathy
A504,Late congenital neurosyphilis [juvenile neurosyphilis]
A505,Other late and symptomatic forms of congenital syphilis
A506,Latent late congenital syphilis
A507,Unspecified late congenital syphilis
A509,Unspecified congenital syphilis
A510,Primary genital syphilis
A511,Primary anal syphilis
A512,Primary syphilis from other locations
A513,Secondary syphilis of the skin and mucous membranes
A514,Other forms of secondary syphilis
A515,Early latent syphilis
A519,Early syphilis unspecified
A520,Cardiovascular Syphilis
A521,Symptomatic neurosyphilis
A522,Asymptomatic neurosyphilis
A523,Neurosyphilis unspecified
A527,Other forms of symptomatic late syphilis
A528,Latent late syphilis
A529,Unspecified late syphilis
A530,"Latent syphilis, unspecified whether recent or late"
A539,Syphilis unspecified
A540,"Gonococcal infection of the lower genitourinary tract, without periurethral or accessory gland abscess"
A541,"Gonococcal infection of the lower genitourinary tract, with periurethral or accessory gland abscess"
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
A543,Gonococcal infection of the eye
A544,Gonococcal infection of the musculoskeletal system
A545,Gonococcal pharyngitis
A546,Gonococcal infection of the anus or rectum
A548,Other gonococcal infections
A549,Unspecified gonococcal infection
A55,Lymphogranuloma (venereum) due to chlamydia
A560,Chlamydia infections of the lower genitourinary tract
A561,"Chlamydia, pelviperitoneal, and other genitourinary tract infections"
A562,"Chlamydia infection of the genitourinary tract, location unspecified"
A563,Chlamydia infection of the anus and rectum
A564,Chlamydia infection of the pharynx
A568,Chlamydia infection transmitted sexually from other locations
A57,Soft canker
A58,Inguinal granuloma
A590,Urogenital trichomoniasis
A598,Other trichomoniasis locations
A599,Trichomoniasis unspecified
A600,Herpes virus infection of the genitals and genitourinary tract
A601,Herpes virus infection of the cutaneous margin of the anus and rectum
A609,Unspecified anogenital herpes virus infection
A630,Anogenital (venereal) warts
A638,Other specified diseases of predominantly sexual transmission
A64,"Sexually transmitted diseases, unspecified"
A65,Non-venereal syphilis
A660,Initial yaws injuries
A661,Multiple papillomas and wet yaws (yaws clove)
A662,Other early skin lesions of yaws
A663,Hyperkeratosis due to yaws
A664,Gums and ulcers due to yaws
A665,Gangosa
A666,Osteoarticular lesions due to yaws
A667,Other manifestations of yaws
A668,Latent bouba
A669,Unspecified bouba
A670,Primary mole lesions
A671,Intermediate lesions of the mole
A672,Late mole lesions
A673,Mixed mole lesions
A679,Unspecified mole
A680,Recurrent lice fever
A681,Recurrent tick-borne fever
A689,Recurrent fever unspecified
A690,Necrotizing ulcerative stomatitis
A691,Other Vincent Infections
A692,Lyme disease
A698,Other specified spirochete infections
A699,"Spirochete infection, unspecified"
A70,Infections caused by Chlamydia psittaci
A710,Early Stage of Trachoma
A711,Active phase of trachoma
A719,Trachoma unspecified
A740,Conjunctivitis caused by chlamydia
A748,Other diseases caused by chlamydia
A749,Infection caused by chlamydia unspecified
A750,Epidemic typhus transmitted by lice due to Rickettsia prowazekii
A751,Recrudescent typhus [Brill's disease]
A752,Typhus by Rickettsia typhi
A753,Typhus by Rickettsia tsutsugamuchi
A759,Unspecified typhus
A770,Rocky Mountain spotted fever by Rickettsia richettsii
A771,Spotted fever by Rickettsia conorii
A772,Rocky Mountain spotted fever due to Rickettsia siberica
A773,Spotted fever due to Rickettsia australis
A778,Other spotted fevers
A779,Spotted fever unspecified
A78,Q fever
A790,Trench fever
A791,Varicelliform rickettsiosis due to Rickettsia akari
A798,Other types of specified rickettsiosis
A799,Rickettsiosis unspecified
A800,"Acute paralytic poliomyelitis, associated with the vaccine virus"
A801,"Acute paralytic poliomyelitis, imported wild virus"
A802,"Acute paralytic poliomyelitis, indigenous wild virus"
A803,"Acute paralytic poliomyelitis, other and unspecified"
A804,Acute non-paralytic poliomyelitis
A809,Acute Poliomyelitis Unspecified
A810,Creutzfeldt-Jakob disease
A811,Subacute sclerosing panencephalitis
A812,Progressive multifocal leukoencephalopathy
A818,Other infections with atypical central nervous system viruses
A819,Unspecified central nervous system infection with atypical viruses
A820,Wild rabies
A821,Urban rage
A829,Unspecified rabies
A830,Japanese encephalitis
A831,Western equine encephalitis
A832,Eastern equine encephalitis
A833,St. Louis Encephalitis
A834,Australian encephalitis
A835,California Encephalitis
A836,Rocio's virus disease
A838,Other mosquito-borne virus encephalitis
A839,Unspecified encephalitis caused by mosquito-borne viruses
A840,Taiga encephalitis [Russian vernoestival encephalitis]
A841,Tick-borne Central European encephalitis
A848,Other tick-borne virus encephalitis
A849,Unspecified tick-borne virus-borne encephalitis
A850,Enterovirus encephalitis
A851,Adenovirus encephalitis
A852,"Arthropod-borne virus encephalitis, unspecified"
A858,Other specified viral encephalitis
A86,"Viral encephalitis, unspecified"
A870,Enterovirus meningitis
A871,Adenovirus meningitis
A872,Lymphocytic choriomeningitis
A878,Other viral meningitis
A879,Unspecified viral meningitis
A880,Exanthematous enterovirus fever [Boston rash]
A881,Epidemic vertigo
A888,Other specified viral infections of the central nervous system
A89,Unspecified viral infections of the central nervous system
A90,Dengue [classic dengue]
A91,Hemorrhagic fever due to dengue virus
A920,Chikungunya fever
A921,O'nyong-nyong fever
A922,Venezuelan Equine Fever
A923,West Nile virus infection
A924,Rift Valley Fever
A928,Other specified viral fevers transmitted by mosquitoes
A929,"Mosquito-borne viral fever, unspecified"
A930,Oropouche fever
A931,Sandfly fever
A932,Tick-borne Colorado fever
A938,Other specified viral fevers transmitted by arthropods
A94,"Arthropod-borne viral fever, unspecified"
A950,Sylvatic yellow fever
A951,Urban yellow fever
A959,Yellow fever unspecified
A960,Junin hemorrhagic fever
A961,Machupo hemorrhagic fever
A962,Lassa Fever
A968,Other arenavirus hemorrhagic fevers
A969,"Arenavirus hemorrhagic fever, unspecified"
A980,Crimean hemorrhagic fever (Congo)
A981,Omsk hemorrhagic fever
A982,Kyasanur Forest Disease
A983,Marburg disease
A984,Ebola virus disease
A985,Hemorrhagic fever with renal syndrome
A988,Other virus-specified hemorrhagic fevers
A99,Viral hemorrhagic fevers unspecified
B000,Eczema herpeticum
B001,Vesicular dermatitis due to the herpes virus
B002,Gingivostomatitis and pharyngotonsillitis due to herpes virus
B003,Meningitis due to herpes virus
B004,Encephalitis due to herpes virus
B005,Eye disorders due to the herpes virus
B007,Disseminated disease due to herpes virus
B008,Other forms of infection due to the herpes virus
B009,Unspecified infection due to herpes virus
B010,Chickenpox meningitis
B011,Varicella encephalitis
B012,Varicellous pneumopathy
B018,Chickenpox with other complications
B019,Uncomplicated chickenpox
B020,Herpes zoster virus encephalitis
B021,Meningitis caused by the herpes zoster virus
B022,Herpes zoster accompanied by other neurological manifestations
B023,Herpes zoster ophthalmicus
B027,Disseminated herpes zoster
B028,Herpes zoster with other complications
B029,Uncomplicated herpes zoster
B03,Smallpox
B04,Monkeypox
B050,Measles complicated by encephalitis
B051,Measles complicated by meningitis
B052,Measles complicated by pneumonia
B053,Measles complicated by otitis media
B054,Measles with intestinal complications
B058,Measles with other complications
B059,Measles without complication
B060,Rubella with neurological complications
B068,Rubella with other complications
B069,Rubella without complication
B07,Warts of viral origin
B080,Other Orthopoxvirus Infections
B081,Molluscum contagiosum
B082,Sudden rash [sixth disease]
B083,Erythema infectiosum [fifth disease]
B084,Vesicular stomatitis due to enterovirus with rash
B085,Vesicular pharyngitis due to enterovirus
B088,Other specified viral infections characterised by lesions of the skin and mucous membranes
B09,Unspecified viral infection characterized by lesions of the skin and mucous membranes
B150,Hepatitis A with hepatic coma
B159,Hepatitis A without hepatic coma
B160,"Acute hepatitis B with Delta agent (co-infection), with hepatic coma"
B161,"Acute hepatitis B with agent Delta, (co-infection), without hepatic coma"
B162,"Acute hepatitis B without Delta agent, with hepatic coma"
B169,Acute hepatitis B without Delta agent and without hepatic coma
B170,Acute Delta (super)infection of hepatitis B carrier
B171,Acute hepatitis C
B172,Acute hepatitis E
B178,Other specified acute viral hepatitis
B180,Chronic viral hepatitis B with agent Delta
B181,Chronic viral hepatitis B without Delta agent
B182,Chronic viral hepatitis C
B188,Other chronic viral hepatitis
B189,Chronic viral hepatitis unspecified
B190,"Viral hepatitis, unspecified, with coma"
B199,"Viral hepatitis, unspecified, not comatose"
B200,HIV disease resulting in mycobacterial infections
B201,HIV disease resulting in other bacterial infections
B202,HIV disease resulting in cytomegalic disease
B203,HIV disease resulting in other viral infections
B204,HIV disease resulting in candidiasis
B205,HIV disease resulting in other mycoses
B206,HIV disease resulting in Pneumocystis jirovecii pneumonia
B207,HIV disease resulting in multiple infections
B208,HIV disease resulting in other infectious and parasitic diseases
B209,HIV disease resulting in unspecified infectious or parasitic disease
B210,HIV disease resulting in Kaposi's sarcoma
B211,HIV disease resulting in Burkitt's lymphoma
B212,HIV disease resulting in other types of non-Hodgkin's lymphoma
B213,"HIV disease resulting in other malignant neoplasms of lymphatic, hematopoietic, and related tissues"
B217,HIV disease resulting in multiple malignancies
B218,HIV disease resulting in other malignancies
B219,HIV disease resulting in unspecified malignancy
B220,HIV disease resulting in encephalopathy
B221,HIV disease resulting in lymphatic interstitial pneumonitis
B222,HIV disease resulting in wasting syndrome
B227,HIV disease resulting in multiple diseases classified elsewhere
B230,Acute HIV infection syndrome
B231,HIV disease resulting in generalized (persistent) lymphadenopathy
B232,HIV disease resulting in hematologic and immunologic abnormalities not elsewhere classified
B238,HIV disease resulting in other specified conditions
B24,HIV disease unspecified
B250,Cytomegalovirus pneumonitis
B251,Cytomegalovirus hepatitis
B252,Cytomegalovirus pancreatitis
B258,Other cytomegalovirus diseases
B259,Unspecified cytomegalovirus disease
B260,Mumps orchitis [epidemic mumps]
B261,Mumps meningitis [epidemic mumps]
B262,Mumps encephalitis [epidemic mumps]
B263,Mumps pancreatitis [epidemic mumps]
B268,Mumps [epidemic mumps] with other complications
B269,Mumps [epidemic mumps] without complications
B270,Gamma herpes virus mononucleosis
B271,Cytomegalovirus mononucleosis
B278,Other infectious mononucleoses
B279,Unspecified infectious mononucleosis
B300,Keratoconjunctivitis due to adenovirus
B301,Conjunctivitis due to adenovirus
B302,Viral pharyngoconjunctivitis
B303,Endemic acute hemorrhagic conjunctivitis (enterovirus)
B308,Other viral conjunctivitis
B309,Unspecified viral conjunctivitis
B330,Epidemic myalgia
B331,Ross River Disease
B332,Viral carditis
B333,Retrovirus infection not elsewhere classified
B334,Hantavirus [PCS] (cardio-)pulmonary syndrome [PCS]
B338,Other Virus-Specified Diseases
B340,Adenovirus infection of unspecified location
B341,Enterovirus infection of unspecified location
B342,Coronavirus infection of unspecified location
B343,Parvovirus infection of unspecified location
B344,Papovavirus infection of unspecified location
B348,Other Virus Infections of Unspecified Location
B349,Unspecified viral infection
B350,Tinea of the beard and scalp
B351,Tinea nails
B352,Hand Tinea
B353,Tinea of the feet
B354,Tinea of the body
B355,It had imbricated
B356,Tinea cruris
B358,Other dermatophytoses
B359,Dermatophytosis unspecified
B360,Pityriasis versicolor
B361,There was black
B362,Piedra branca
B363,Piedra negra
B368,Other specified superficial mycoses
B369,Unspecified superficial mycosis
B370,Candida Stomatitis
B371,Pulmonary candidiasis
B372,Candidiasis of the skin and nails
B373,Candidiasis of the vulva and vagina
B374,Candidiasis of other urogenital locations
B375,Candida Meningitis
B376,Candida Endocarditis
B377,Septicemia por Candida
B378,Candidiasis from other locations
B379,Unspecified candidiasis
B380,Acute pulmonary coccidioidomycosis
B381,Chronic pulmonary coccidioidomycosis
B382,Unspecified pulmonary coccidioidomycosis
B383,Cutaneous coccidioidomycosis
B384,Meningitis due to coccidioidomycosis
B387,"Coccidioidomycosis, disseminated"
B388,Other forms of coccidioidomycosis
B389,Coccidioidomycosis unspecified
B390,Acute pulmonary histoplasmosis caused by Histoplasma capsulatum
B391,Chronic pulmonary histoplasmosis caused by Histoplasma capsulatum
B392,Pulmonary histoplasmosis not specified by Histoplasma capsulatum
B393,Histoplasmosis disseminated by Histoplasma capsulatum
B394,Histoplasmosis not specified by Histoplasma capsulatum
B395,Histoplasmosis by Histoplasma duboisii
B399,Unspecified histoplasmosis
B400,Acute pulmonary blastomycosis
B401,Chronic pulmonary blastomycosis
B402,Unspecified Pulmonary Blastomycosis
B403,Cutaneous blastomycosis
B407,Disseminated blastomycosis
B408,Other forms of blastomycosis
B409,Blastomycosis unspecified
B410,Pulmonary paracoccidioidomycosis
B417,"Paracoccidioidomycosis, disseminated"
B418,Other forms of paracoccidioidomycosis
B419,Paracoccidioidomycosis unspecified
B420,Pulmonary sporotrichosis
B421,Lymphocutaneous sporotrichosis
B427,Disseminated sporotrichosis
B428,Other forms of sporotrichosis
B429,Unspecified Sporotrichosis
B430,Cutaneous chromomycosis
B431,Pheomycotic brain abscess
B432,Subcutaneous pheomycotic abscess and cyst
B438,Other forms of chromomycosis
B439,Chromomycosis unspecified
B440,Invasive pulmonary aspergillosis
B441,Other pulmonary aspergillosis
B442,Tonsillar aspergillosis
B447,"Aspergillosis, disseminated"
B448,Other forms of aspergillosis
B449,Aspergillosis unspecified
B450,Pulmonary cryptococcosis
B451,Brain cryptococcosis
B452,Cutaneous cryptococcosis
B453,Bone cryptococcosis
B457,Disseminated cryptococcosis
B458,Other forms of cryptococcosis
B459,Cryptococcosis unspecified
B460,Pulmonary mucormycosis
B461,Rhinocerebral mucormycosis
B462,Gastrointestinal mucormycosis
B463,Cutaneous mucormycosis
B464,Disseminated mucormycosis
B465,Mucormycosis unspecified
B468,Other zygomycoses
B469,Zygomycosis unspecified
B470,Eumycetoma
B471,Actinomycetoma
B479,Mycetoma unspecified
B480,Lobomycosis
B481,Rhinosporidiosis
B482,Aleskeriosis
B483,Geotrichosis
B484,Penicillosis
B487,Opportunistic mycoses
B488,Other specified mycoses
B49,Ringworm not specified
B500,Plasmodium falciparum malaria with brain complications
B508,Other severe and complicated forms of Plasmodium falciparum malaria
B509,Unspecified Plasmodium falciparum malaria
B510,Plasmodium vivax malaria with ruptured spleen
B518,Plasmodium vivax malaria with other complications
B519,Uncomplicated Plasmodium vivax malaria
B520,Plasmodium malariae malaria with nephropathy
B528,Plasmodium malariae malaria with other complications
B529,Uncomplicated Plasmodium malariae malaria
B530,Plasmodium ovale malaria
B531,Malaria caused by monkey plasmodia
B538,"Other forms of malaria with parasitological confirmation, not elsewhere classified"
B54,Unspecified malaria
B550,Visceral leishmaniasis
B551,Cutaneous leishmaniasis
B552,Cutaneous-mucosal leishmaniasis
B559,Leishmaniasis unspecified
B560,Trypanosomiasis caused by Trypanosoma gambiense
B561,Trypanosomiasis caused by Trypanosoma rhodesiense
B569,African trypanosomiasis unspecified
B570,"Acute form of Chagas disease, with cardiac involvement"
B571,"Acute form of Chagas disease, without cardiac involvement"
B572,Chagas disease (chronic) with cardiac involvement
B573,Chagas disease (chronic) with digestive system involvement
B574,Chagas disease (chronic) with nervous system involvement
B575,Chagas disease (chronic) with involvement of other organs
B580,Toxoplasma Oculopathy
B581,Toxoplasma Hepatitis
B582,Toxoplasma Meningoencephalitis
B583,Pulmonary toxoplasmosis
B588,Toxoplasmosis with involvement of other organs
B589,Toxoplasmosis unspecified
B59,Pneumocystosis
B600,Babesiosis
B601,Acanthammebiasis
B602,Naegleríasis
B608,Other specified diseases due to protozoa
B64,Unspecified disease due to protozoa
B650,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]
B651,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]
B652,Schistosomiasis due to Schistosoma japonicum
B653,Cereal dermatitis
B658,Other schistosomiasis
B659,Schistosomiasis unspecified
B660,Opistorkiasis
B661,Clonorchiasis
B662,Dicroceliasis
B663,Fascioliasis
B664,Paragonimiasis
B665,Fasciolopsiasis
B668,Other specified trematode infestations
B669,Unspecified Trematode Infection
B670,Hepatic infestation by Echinococcus granulosus
B671,Pulmonary infestation by Echinococcus granulosus
B672,Bone infestation by Echinococcus granulosus
B673,"Infestations by Echinmococcus granulosus, other and multiple locations"
B674,Unspecified infestation by Echinococcus granulosus
B675,Hepatic infestation by Echinococcus multilocularis
B676,"Echinococcus multilocularis, other, and multi-site infections"
B677,Unspecified infestation by Echinococcus multilocularis
B678,"Unspecified hepatic infestation, Echinococcus"
B679,"Echinococcus infestations, other and unspecified"
B680,Taenia solium infestation
B681,Taenia saginata infestation
B689,Unspecified Taenia infestation
B690,Central nervous system cysticercosis
B691,Cysticercosis of the eye
B698,Cysticercosis of other locations
B699,Unspecified cysticercosis
B700,Diphyllobotriasis
B701,Spagasnosis
B710,Hymenolepis infestation
B711,Dipylidium Infestation
B718,Other specified cestoid infestations
B719,Unspecified cestoid infestation
B72,Draconthiasis
B73,Onchocerciasis
B740,Filariasis by Wuchereria bancrofti
B741,Filariasis by Brugia malayi
B742,Filariasis by Brugia timori
B743,Loaiasis
B744,Mansonellosis
B748,Other filariases
B749,Filariasis unspecified
B75,Trichinosis
B760,Hookworm
B761,Necatoriasis
B768,Other hookworms
B769,Hookworm unspecified
B770,Ascariasis with intestinal complications
B778,Ascariasis with other complications
B779,Unspecified ascariasis
B780,Intestinal strongyloidiasis
B781,Cutaneous strongyloidiasis
B787,Disseminated strongyloidiasis
B789,Unspecified strongyloidiasis
B79,Trichuriasis
B80,Oxyuriasis
B810,Anisakiasis
B811,Intestinal capillariasis
B812,Trichostrongylose
B813,Intestinal angiostrongyliasis
B814,Mixed intestinal helminthiases
B818,Other specified intestinal helminthiases
B820,Intestinal helminthiasis unspecified
B829,Unspecified intestinal parasitosis
B830,Visceral larva migrans
B831,Gnathostomiasis
B832,Angrostrongyliasis due to Parastrongylus cantonensis
B833,Singamose
B834,Internal hyrudiniasis
B838,Other specified helminthiases
B839,Helminthiasis unspecified
B850,Pediculosis due to Pediculus humanus capitis
B851,Pediculosis due to Pediculus humanus corporis
B852,Pediculosis unspecified
B853,Phthyriasis
B854,Pediculosis and mixed phthyriasis
B86,Scabies [scabies]
B870,Cutaneous myiasis
B871,Myiasis of the wounds
B872,Ocular myiasis
B873,Nasopharyngeal myiasis
B874,Atrial myiasis
B878,Myiasis from other locations
B879,Myiasis unspecified
B880,Other acariases
B881,Tungiasis [sand flea infestation]
B882,Other arthropod infestations
B883,External hyrudyniasis
B888,Other specified infestations
B889,Unspecified infestation
B89,Unspecified parasitic disease
B900,Sequelae of tuberculosis of the central nervous system
B901,Sequelae of genitourinary tuberculosis
B902,Sequelae of bone and joint tuberculosis
B908,Sequelae of tuberculosis of other organs
B909,Sequelae of tuberculosis of the respiratory tract and organs not specified
B91,Sequelae of poliomyelitis
B92,Sequelae of leprosy [leprosy]
B940,Sequelae of trachoma
B941,Sequelae of viral encephalitis
B942,Sequelae of viral hepatitis
B948,Sequelae of other specified infectious and parasitic diseases
B949,Sequelae of unspecified infectious or parasitic disease
B950,"Group A streptococcus, as a cause of diseases classified in other chapters"
B951,"Group B streptococcus, as a cause of diseases classified in other chapters"
B952,"Group D streptococcus, as a cause of diseases classified in other chapters"
B953,"Streptococcus pneumoniae, as a cause of diseases classified in other chapters"
B954,Other streptococci as a cause of diseases classified in other chapters
B955,Unspecified streptococcus as a cause of diseases classified in other chapters
B956,"Staphylococcus aureus, as a cause of diseases classified in other chapters"
B957,Other staphylococci as a cause of diseases classified in other chapters
B958,Staphylococcus not specified as a cause of diseases classified in other chapters
B960,"Mycoplasma pneumoniae [M. pneumoniae], as a cause of diseases classified in other chapters"
B961,"Klebsiella pneumoniae [M. pneumoniae], as a cause of diseases classified in other chapters"
B962,"Escherichia coli [E. Coli], as a cause of diseases classified in other chapters"
B963,"Haemophilus influenzae [H. influenzae], as a cause of diseases classified in other chapters"
B964,"Proteus (mirabilis) (morganii), as a cause of diseases classified in other chapters"
